Date,Strategy_Equity
2020-01-02,100000.0
2020-01-03,100000.00000000001
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,99999.99999999999
2020-01-10,99999.99999999999
2020-01-13,99999.99999999999
2020-01-14,99999.99999999999
2020-01-15,99999.99999999999
2020-01-16,99999.99999999999
2020-01-17,99999.99999999999
2020-01-21,99999.99999999999
2020-01-22,99999.99999999999
2020-01-23,100892.92135799999
2020-01-24,99407.695006
2020-01-27,99405.43970599998
2020-01-28,99612.56641599999
2020-01-29,100142.734648
2020-01-30,99540.15296299999
2020-01-31,99540.152963
2020-02-03,99540.152963
2020-02-04,99540.152963
2020-02-05,99540.152963
2020-02-06,99540.152963
2020-02-07,99540.152963
2020-02-10,99540.152963
2020-02-11,99540.152963
2020-02-12,99540.152963
2020-02-13,100277.8508250302
2020-02-14,99543.20967139924
2020-02-18,98285.93265701579
2020-02-19,97704.1964488792
2020-02-20,97808.73513305762
2020-02-21,97808.73513305762
2020-02-24,97808.73513305762
2020-02-25,97808.73513305762
2020-02-26,97808.73513305762
2020-02-27,97808.73513305763
2020-02-28,97808.73513305763
2020-03-02,97808.73513305763
2020-03-03,97808.73513305763
2020-03-04,97808.73513305763
2020-03-05,95303.63660718063
2020-03-06,94986.87829325009
2020-03-09,94986.87829325009
2020-03-10,92805.34901605116
2020-03-11,90667.13187569105
2020-03-12,89979.44037062337
2020-03-13,89979.44037062339
2020-03-16,89979.44037062339
2020-03-17,89979.44037062339
2020-03-18,89742.02318814551
2020-03-19,89742.02318814553
2020-03-20,89742.02318814553
2020-03-23,89742.02318814553
2020-03-24,89742.02318814553
2020-03-25,89742.02318814553
2020-03-26,87653.00530449465
2020-03-27,85773.82116273219
2020-03-30,85773.82116273219
2020-03-31,83916.01261721815
2020-04-01,83447.39157421107
2020-04-02,83840.65603482214
2020-04-03,83840.65603482214
2020-04-06,83840.65603482214
2020-04-07,83840.65603482214
2020-04-08,86370.77677581532
2020-04-09,86370.77677581532
2020-04-13,86370.77677581532
2020-04-14,86370.77677581532
2020-04-15,86370.77677581532
2020-04-16,88095.36564089809
2020-04-17,90540.14503526328
2020-04-20,90540.14503526328
2020-04-21,94323.02064759345
2020-04-22,100143.51692638046
2020-04-23,102595.6563901882
2020-04-24,102595.6563901882
2020-04-27,102595.6563901882
2020-04-28,102595.6563901882
2020-04-29,102705.8475958284
2020-04-30,102705.8475958284
2020-05-01,102705.8475958284
2020-05-04,102705.8475958284
2020-05-05,102705.8475958284
2020-05-06,102705.8475958284
2020-05-07,102816.45763325682
2020-05-08,104808.02106657131
2020-05-11,104808.02106657131
2020-05-12,105055.19392436254
2020-05-13,108412.6338545105
2020-05-14,112326.28518288437
2020-05-15,112326.28518288438
2020-05-18,112326.28518288438
2020-05-19,112326.28518288438
2020-05-20,112148.04767507424
2020-05-21,112148.04767507424
2020-05-22,112148.04767507424
2020-05-26,112148.04767507424
2020-05-27,112148.04767507424
2020-05-28,119850.94362449512
2020-05-29,126085.82522281137
2020-06-01,126085.82522281137
2020-06-02,127373.40253300435
2020-06-03,131044.67329545588
2020-06-04,139528.99724594157
2020-06-05,139528.99724594157
2020-06-08,139528.99724594157
2020-06-09,139528.99724594157
2020-06-10,140038.92439604911
2020-06-11,140038.92439604911
2020-06-12,140038.92439604911
2020-06-15,140038.92439604911
2020-06-16,140038.92439604911
2020-06-17,140038.92439604911
2020-06-18,144171.20157765635
2020-06-19,145693.07489802642
2020-06-22,145693.07489802642
2020-06-23,145994.1935123967
2020-06-24,146304.93670987716
2020-06-25,148859.1569047567
